,Sentence,Score,Total_Words,Total_Characters,Lemmed_Words,Lemmed_Characters
210,i did not bother contacting the company for few dollar product but i learned the lesson that i should not have bought this form online anyway,0,26,142,26,141
211,if you hate earbugs avoid this phone by all means,0,10,51,10,49
212,great price also,1,3,17,3,16
213,the range is very decent ive been able to roam around my house with the phone in the living room with no receptionsound quality issues,1,25,138,25,134
214,fast service,1,2,13,2,12
215,i would highly recommend this,1,5,30,5,29
216,i would recommend this,1,4,23,4,22
217,i also didnt like the on button it felt like it would crack with use,0,15,73,15,68
218,worst phone ever,0,3,17,3,16
219,im still infatuated with this phone,1,6,37,6,35
220,freezes frequently4,0,2,20,2,19
221,its kind of embarrassing to use because of how it looks and mostly its embarrassing how childlike the company is,0,20,116,20,112
222,simple lightweight and great fit,1,5,34,5,32
223,all in all id expected a better consumer experience from motorola,0,11,68,11,65
224,theres a horrible tick sound in the background on all my calls that i have never experienced before,0,18,101,18,99
225,these are certainly very comfortable and functionality is decent,1,9,65,9,64
226,i usually dont like headbands but this one is very lightweight  doesnt mess up my hair,1,17,90,16,86
227,im a bit disappointed,0,4,23,4,21
228,i have had this phone for over a year now and i will tell you its not that great,0,19,83,19,80
229,i ordered this for sony ericsson w810i but i think it only worked once thats when i first used it,0,20,100,20,97
230,the battery is completely useless to me,0,7,40,7,39
231,what a big waste of time,0,6,25,6,24
232,dont waste your  on this one,0,7,33,6,28
233,great sound and service,1,4,24,4,23
234,really pleased with this product so far,1,7,40,7,39
235,one of my favorite purchases ever,1,6,34,6,33
236,best bluetooth on the market,1,5,29,5,28
237,authentic leather with nice shine and comfort i recommend you this case ,1,13,75,12,72
238,i was very excited to get this headset because i thought it was really cute,1,15,76,15,75
239,do not make the same mistake as me,0,8,35,8,34
240,big disappointment with calendar sync,0,5,38,5,37
241,the phone was unusable and was not new,0,8,39,8,38
242,worst customer service ever,0,4,28,4,27
243,no additional ear gels provided and no instructions whatsoever,0,9,64,9,62
244,it defeats the purpose of a bluetooth headset,0,8,46,8,45
245,worth every penny,1,3,18,3,17
246,excellent wallet type phone case,1,5,33,5,32
247,nice headphones for the price and they work great,1,9,50,9,49
248,internet is excrutiatingly slow,0,4,32,4,31
249,it is very comfortable to wear as well which is probably the most important aspect about using a case,1,19,103,19,101
250,its fits like a glove and is strong secure and durable,1,11,58,11,54
251,o my gosh the best phone i have ever had,1,10,41,10,40
252,its very attractive and appears to be of good quality,1,10,55,10,53
253,i love all the features and form factor,1,8,40,8,39
254,this product had a strong rubberpetroleum smell that was unbearable after a while and caused me to return it,0,19,109,19,108
255,poor quality and service,0,4,25,4,24
256,the cable looks so thin and flimsy it is scary,0,10,48,10,46
257,great earpiece,1,2,15,2,14
258,excellent hands free tool,1,4,26,4,25
259,great for using with your home stereo,1,7,38,7,37
260,good product  incredible value,1,5,32,4,30
261,only had this a month but its worked flawlessly so far,1,11,56,11,54
262,works great,1,2,12,2,11
263,absolutel junk,0,2,15,2,14
264,that one didnt work either,0,5,28,5,26
265,battery life is real good,1,5,26,5,25
266,returned 8 hours later,0,4,23,4,22
267,its a great item,1,4,18,4,16
268,dont waste your money,0,4,24,4,21
269,love this headset,1,3,18,3,17
270,not only will it drain your player but may also potentially fry it,0,13,68,13,66
271,worked perfectly,1,2,17,2,16
272,unreliable  im giving up,0,5,27,4,24
273,i gave it 5 stars because of the sound quality,1,10,47,10,46
274,avoid this one if you can,0,6,26,6,25
275,reversible plug works great,1,4,28,4,27
276,i wasted my little money with this earpiece,0,8,44,8,43
277,very good phone,1,3,16,3,15
278,best of all is the rotating feature very helpful,1,9,50,9,48
279,comfort for our whole family,1,5,29,5,28
280,good product good seller,1,4,26,4,24
281,i love this bluetooth,1,4,22,4,21
282,first of all it doesnt wear well,0,7,35,7,32
283,i am very impressed with this headset from plantronics,1,9,55,9,54
284,i got it because it was so small and adorable,1,10,46,10,45
285,great phone,1,2,13,2,11
286,i wouldnt recommend buying this product,0,6,41,6,39
287,piece of junk,0,3,14,3,13
288,poorly contstruct hinge,0,3,24,3,23
289,this item is great installed it let it charged up overnite and it has been working good every since with no problems,1,22,118,22,116
290,great phone,1,2,12,2,11
291,dont buy it,0,3,13,3,11
292,excellent phone,1,2,16,2,15
293,do not purchase this phone,0,5,27,5,26
294,the voice recognition thru the handset is excellent,1,8,52,8,51
295,this is hands down the best phone ive ever had,1,10,48,10,46
296,works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen,1,18,111,18,109
297,this one works and was priced right,1,7,36,7,35
298,customer service was terrible,0,4,30,4,29
299,battery life still not long enough in motorola razor v3i,0,10,57,10,56
300,sending it back,0,3,16,3,15
301,now i know that i made a wise decision,1,9,39,9,38
302,someone shouldve invented this sooner,1,5,38,5,37
303,good price,1,2,11,2,10
304,everything worked on the first trythe device was certainly engineered in a clever way and the construction feels good,1,19,119,19,117
305,i received it quickly and it works great,1,8,42,8,40
306,has been working great,1,4,23,4,22
307,as many people complained i found this headsets microphone was very weak,0,12,75,12,72
308,my 5year old nokia 2160 from tracfone holds the charge a lot better than this,0,15,79,15,77
309,they do not care about the consumer one bit,0,9,44,9,43
310,this is a good battery and it got here really fast,1,11,52,11,50
311,the instruction manual is lacking,0,5,34,5,33
312,also its slim enough to fit into my alarm clock docking station without removing the case,1,16,90,16,89
313,phone now holds charge like it did when it was new,1,11,51,11,50
314,the battery is unreliable as well as the service use antena,0,11,60,11,59
315,its uncomfortable and the sound quality is quite poor compared with the phone razr or with my previous wired headset that plugged into an lg,0,25,146,25,140
316,we have gotten a lot of compliments on it,1,9,42,9,41
317,this is definitely a must have if your state does not allow cell phone usage while driving,1,17,91,17,90
318,i want my money back,0,5,21,5,20
319,i love this device,1,4,19,4,18
320,i am also very happy with the price,1,8,36,8,35
321,i ordered this product first and was unhappy with it immediately,0,11,65,11,64
322,the ngage is still lacking in earbuds,0,7,38,7,37
323,i was able to do voice dialing in the car with no problem,1,13,58,13,57
324,i have 23 bars on my cell phone when i am home but you cant not hear anything,0,18,80,18,77
325,good item low price,1,4,21,4,19
326,howeverthe riingtones are not the best and neither are the games,0,11,67,11,64
327,the plug did not work very well,0,7,32,7,31
328,amazon sucks,0,2,13,2,12
329,rip off over charge shipping,0,5,33,5,28
330,very comfortable,1,2,17,2,16
331,the battery is working well as a replacement for the original that came with the phone over 2 years ago,1,20,104,20,103
332,the reception is excellent,1,4,27,4,26
333,it fits comfortably in either ear the sound is clear and loud and the charge lasts a couple of days,1,20,102,20,99
334,very clear quality sound and you dont have to mess with the sound on your ipod since you have the sound buttons on the headset,1,25,129,25,126
335,1 long lasting battery you dont have to recharge it as frequentyly as some of the flip phones2,0,18,99,18,94
336,obviously there is a problem with the adhesive,0,8,47,8,46
337,very disappointing,0,2,19,2,18
338,it was an inexpensive piece but i would still have expected better quality,0,13,76,13,74
339,it is practically useless and did not add any kind of boost to my reception after i bought it,0,19,94,19,93
340,excellent sound quality,1,3,24,3,23
341,was not happy,0,3,14,3,13
342,a piece of junk that broke after being on my phone for 2 days,0,14,64,14,61
343,new battery works great in phone,1,6,33,6,32
344,worst customer service,0,3,23,3,22
345,ive dropped my phone more times than i can say even on concrete and my phone is still great knock on wood,1,22,111,22,105
346,reception is terrible and full of static,0,7,41,7,40
347,good audio quality,1,3,19,3,18
348,this little device has transformed my organizational capability and made my life a whole lot easier,1,16,100,16,99
349,i was sitting in my vehicle with the cradle on my belt and the headset lost signal,0,17,85,17,82
350,were jerks on the phone,0,5,24,5,23
351,works like a charm works as advertised,1,7,41,7,38
352,comfortable nice range good battery life,1,6,43,6,40
353,their network coverage in los angeles is horrible,0,8,50,8,49
354,excellent starter wireless headset,0,4,35,4,34
355,the loudspeaker option is great the bumpers with the lights is very  appealing,0,14,83,13,78
356,the only thing that i think could improve is the sound leaks out from the headset,0,16,82,16,81
357,first off the reception sucks i have never had more than 2 bars ever,0,14,71,14,68
358,the phone gets extremely hot,0,5,29,5,28
359,the microphone also works well but according to people i have called it applifies everything,1,15,96,15,92
360,nice design and quality,1,4,24,4,23
361,also if your phone is dropped this case is not going to save it specially when dropped face down,0,19,100,19,96
362,it is light easy to use and has very clear reception and transmission,1,13,72,13,69
363,bad fit way too big,0,5,21,5,19
364,it definitely was not as good as my s11,1,9,40,9,39
365,awesome device,1,2,15,2,14
366,waste of money,0,3,15,3,14
367,i had ordered a motorola data cable got a very well finished and working product,1,15,82,15,80
368,love this phone,1,3,16,3,15
369,i was looking for this headset for a long time and now that ive got it i couldnt be happier,1,20,94,20,91
370,ill be drivng along and my headset starts ringing for no reason,0,12,66,12,63
371,display is excellent and camera is as good as any from that year,1,13,65,13,64
372,battery life is also great,1,5,27,5,26
373,the worst phone ive ever had only had it for a few months,0,13,63,13,57
374,not a good item it worked for a while then started having problems in my auto reverse tape player,0,19,100,19,97
375,this is so embarassing and also my ears hurt if i try to push the ear plug into my ear,0,20,87,20,86
376,protects the phone on all sides,1,6,32,6,31
377,this is a very average phone with bad battery life that operates on a weak network,0,16,83,16,82
378,clear skype calls long battery life long range,1,8,49,8,46
379,soyo technology sucks,0,3,22,3,21
380,great hands free device,1,4,24,4,23
381,you can even take self portraits with the outside exterior display very cool,1,13,80,13,76
382,same problem as others have mentioned,0,6,38,6,37
383,after trying many many handsfree gadgets this is the one that finally works well,1,14,81,14,80
384,magical help,1,2,13,2,12
385,the worst piece of crap ever along with the verizon customer service,0,12,69,12,68
386,poor sound quality,0,3,19,3,18
387,the best phone in market ,1,6,28,5,25
388,it worked very well,1,4,20,4,19
389,the company shipped my product very promptly and it works well,1,11,63,11,62
390,exactly what i wanted,1,4,22,4,21
391,the picture resolution is far below what other comparablypriced phones are offering today,0,13,91,13,89
392,this is a great deal,1,5,21,5,20
393,excellent product i am very satisfied with the purchase,1,9,57,9,55
394,i highly recommend these and encourage people to give them a try,1,12,65,12,64
395,better than youd expect,1,4,25,4,23
396,using all earpieces left or right this thing will not stay on my ear,0,14,71,14,68
397,great product and price,1,4,24,4,23
398,sounds good reasonably priced and effective its that simple ,1,10,62,9,60
399,still waiting im sure this item would work well if i ever recieve it,0,14,78,14,68
400,what a disappointment,0,3,21,3,21
401,very prompt service,1,3,20,3,19
402,excellent product for the price,1,5,32,5,31
403,very pleased with this headset,1,5,31,5,30
404,dont waste your money and time,0,6,32,6,30
405,i especially love the long battery life,1,7,40,7,39
406,its so stupid to have to keep buying new chargers car chargers cradles headphones and car kits every time a new phone comes out,0,24,132,24,127
407,works great,1,2,12,2,11
408,plantronics bluetooth excelent buy,1,4,35,4,34
409,i came over from verizon because cingulair has nicer cell phones the first thing i noticed was the really bad service,0,21,122,21,117
410,ill be looking for a new earpiece,0,7,35,7,33
411,i highly recommend this device to everyone,1,7,43,7,42
412,jawbone era is awesome too,1,5,27,5,26
413,we received a white colored battery that goes dead after a couple hoursthe original used to last a week  but still lasts longer than thereplacement,0,26,148,25,147
414,after a year the battery went completely dead on my headset,0,11,60,11,59
415,i have used several phone in two years but this one is the best,1,14,65,14,63
416,an awesome new look for fall 2000,1,7,35,7,33
417,this is the first phone ive had that has been so cheaply made,0,13,63,13,61
418,att is not clear sound is very distorted and you have to yell when you talk,0,16,77,16,75
419,the plastic breaks really easy on this clip,0,8,44,8,43
420,price is good too,1,4,18,4,17
421,dont make the same mistake i did,0,7,34,7,32
422,oh and i forgot to also mention the weird color effect it has on your phone,0,16,76,16,75
423,im using it with an iriver spinn with case and it fits fine,1,13,63,13,59
424,also the area where my unit broke im not too fond of the magnetic strap,0,15,76,15,71
425,overall i am psyched to have a phone which has all my appointments and contacts in and gets great reception,1,20,109,20,107
426,every thing on phone work perfectly she like it,1,9,49,9,47
427,another note about this phones appearance is that it really looks rather bland especially in the all black model,0,19,115,19,112
428,its really easy,1,3,17,3,15
429,my sanyo has survived dozens of drops on blacktop without ill effect,1,12,69,12,68
430,fantastic earphones,1,2,20,2,19
431,it finds my cell phone right away when i enter the car,1,12,55,12,54
432,low quality,0,2,12,2,11
433,i highly recommend this modest priced cellular phone,1,8,53,8,52
434,but it does get better reception and clarity than any phone ive had before,1,14,76,14,74
435,warning  stay away,0,4,20,3,18
436,i wish i could return the unit and get back my money,0,12,53,12,52
437,awsome device works great,1,4,28,4,25
438,i used to talk on it for 1  1 12 hours and the battery would be literally drained and dying,0,21,94,20,91
439,if you dont find it too bad as again the unit comes with one earpad onlyi would not recommend this to anyone,0,22,113,22,108
440,very displeased,0,2,16,2,15
441,i might have gotten a defect but i would not risk buying it again because of the built quality alone,0,20,102,20,100
442,they made this case too small and is very difficult to install,0,12,63,12,62
443,restored my phone to like new performance,1,7,42,7,41
444,i would recommend purchasing the jabra jx10 series 2 which works flawlessly with my moto q go figure,1,18,103,18,100
445,i searched the internet and found this one to be the best value,1,13,65,13,63
446,does not fit,0,3,13,3,12
447,very happy with this product,1,5,29,5,28
448,the screen size is big key pad lit well enough and the camera quality is excellent for a camera phone,1,20,104,20,101
449,theres really nothing bad i can say about this headset,0,10,56,10,54
450,im glad i found this product on amazon it is hard to find it wasnt high priced,1,17,82,17,78
451,portable and it works,1,4,22,4,21
452,my colleague  i now get great receptiona little expensive but performance is great,1,14,86,13,82
453,i even fully charged it before i went to bed and turned off blue tooth and wifi and noticed that it only had 20  left in the morning,0,29,135,28,132
454,ive also had problems with the phone reading the memory card in which i always turn it on and then off again,0,22,110,22,108
455,not good when wearing a hat or sunglasses,0,8,42,8,41
456,timely shipment and quality product,1,5,36,5,35
457,nice solid keyboard,1,3,20,3,19
458,very well made and fits my surefire gx2 perfectly,1,9,50,9,49
459,horrible phone,0,2,15,2,14
460,bt50 battery junk,0,3,19,3,17
461,we would recommend these to others,1,6,35,6,34
462,cant get the software to work with my computer,0,9,47,9,46
463,disappointed,0,1,14,1,12
464,poor voice clarity,0,3,19,3,18
465,the battery works great,1,4,24,4,23
466,no buyers remorse on this one,0,6,31,6,29
467,very disappointed in accessoryone,0,4,34,4,33
468,i find this inexcusable and so will probably be returning this phone and perhaps changing carriers,0,16,99,16,98
469,looks great and is strong,1,5,27,5,25
470,i have had tmobile service for 2 or 3 years now and i am pretty happy with it,1,18,79,18,77
471,the update procedure is difficult and cumbersome,0,7,49,7,48
472,disappointment i hate anything that goes in my ear,0,9,53,9,50
473,great software for motorolas,1,4,29,4,28
474,the delivery was on time,1,5,25,5,24
475,very easy to use,1,4,17,4,16
476,uncomfortable in the ear dont use with lg vx9900 env,0,10,57,10,52
477,the volume switch rocketed out of the unit to a destination unknown,0,12,68,12,67
478,it holds a charge for a long time is reasonably comfortable under longwearing conditions and the quality of sound is tremendous,1,21,130,21,127
479,id like to return it,0,5,22,5,20
480,the keyboard is really worthwhile in usefulness and is sturdy enough i dont expect any problems,1,16,97,16,95
481,verizons bills however are difficult to understand even though their pricing plans are simple,0,14,97,14,93
482,after charging overnight these batteries work great,1,7,53,7,51
483,you wont regret it,1,4,20,4,18
484,i love this phone,1,4,19,4,17
485,a disappointment,0,2,17,2,16
486,its not user friendly,0,4,22,4,21
487,unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect,0,24,140,24,139
488,then i exchanged for the same phone even that had the same problem,0,13,68,13,66
489,this results in the phone being either stuck at max volume or mute,0,13,67,13,66
490,this pda rocks,1,3,15,3,14
491,it is super charged up for use as a small hybrid palmtopcameracellphone and excels in those roles,1,17,101,17,97
492,i would definitely recommend the jabra bt250v for those who are looking for comfort clarity and a great price,1,19,111,19,109
493,i had verizon 2 years ago and really liked their service,1,11,57,11,56
494,pretty piece of junk,0,4,21,4,20
495,plug was the wrong size,0,5,24,5,23
496,works as described,1,3,19,3,18
497,save your money ive had this item for 11 months now,0,11,57,11,51
